1,185,195,3,5
111,225,202,5,5
109,29,235,1,5
2,228,103,3,6
72,166,92,2,6
11,240,181,4,6
70,194,79,0,6
11,250,159,4,6
70,160,119,0,6
113,236,94,5,6
2,223,118,3,6
3,214,143,3,6
75,151,145,0,6
25,226,210,2,6
74,158,118,0,6
114,25,246,1,6
73,160,137,0,6
114,28,225,1,6
116,17,246,1,6
116,21,236,1,6
1,207,160,3,6
113,240,137,5,6
11,247,157,4,6
26,229,189,2,6
11,250,151,4,6
113,238,150,5,6
12,242,198,4,6
26,252,150,2,6
72,185,106,0,6
12,248,196,4,6
13,239,236,4,6
27,221,213,2,6
113,230,203,5,6
26,224,241,2,6
27,232,220,2,6
179,190,154,3,6
111,223,225,5,6
111,226,209,5,6
108,43,244,1,6
27,239,140,2,6
113,232,146,5,6
76,168,112,0,6
27,240,159,2,6
110,34,195,1,6
112,234,175,5,6
98,17,160,1,6
112,242,139,5,6
2,210,145,3,6
12,236,236,4,6
179,185,164,3,6
113,52,255,1,6
104,26,255,1,6
0,182,174,3,6
0,192,156,3,6
26,222,249,2,6
13,241,234,4,6
74,163,138,0,6
179,195,135,3,7
112,56,255,1,7
112,229,229,5,7
27,241,181,2,7
78,161,136,0,7
13,238,235,4,7
72,174,118,0,7
1,197,160,3,7
26,237,238,2,7
13,231,255,4,7
26,212,255,2,7
112,221,255,5,7
76,141,186,0,7
28,225,255,2,7
179,180,188,3,7
0,177,228,3,7
0,176,210,3,7
76,150,162,0,7
77,159,119,0,7
78,153,136,0,7
116,23,255,1,7
111,233,173,5,7
112,39,248,1,7
12,233,240,4,7
111,236,146,5,7
109,27,227,1,7
73,155,152,0,7
13,224,255,4,7
77,148,164,0,7
112,223,236,5,7
111,209,255,5,7
13,232,255,4,7
112,219,233,5,7
1,176,231,3,7
110,218,254,5,7
13,237,255,4,7
112,40,173,1,7
114,47,191,1,7
26,228,190,2,7
73,194,81,0,7
1,223,119,3,7
12,246,194,4,7
96,9,149,1,7
2,225,119,3,7
2,212,143,3,7
13,240,228,4,7
12,239,205,4,7
26,228,186,2,7
26,225,231,2,7
112,233,196,5,7
27,231,195,2,7
109,29,249,1,7
110,31,238,1,7
26,238,200,2,7
26,238,149,2,8
114,43,196,1,8
11,242,194,4,8
110,27,170,1,8
72,186,105,0,8
111,30,211,1,8
70,190,79,0,8
26,246,170,2,8
111,233,167,5,8
116,22,255,1,8
113,224,213,5,8
12,236,212,4,8
74,148,161,0,8
12,238,235,4,8
75,162,137,0,8
1,183,198,3,8
111,223,208,5,8
112,228,187,5,8
11,242,153,4,8
1,202,120,3,8
25,227,190,2,8
11,247,153,4,8
1,213,130,3,8
12,244,202,4,8
113,248,116,5,8
26,249,169,2,8
2,216,144,3,8
0,187,177,3,8
78,161,135,0,8
115,50,235,1,8
26,224,237,2,8
115,40,252,1,8
0,193,151,3,8
74,164,154,0,8
112,27,244,1,8
1,204,157,3,8
76,185,87,0,8
76,168,108,0,8
25,222,199,2,8
113,237,140,5,8
26,235,177,2,8
26,228,198,2,8
113,240,123,5,8
11,246,173,4,8
109,28,220,1,8
12,231,244,4,8
178,186,169,3,8
113,50,255,1,8
111,223,243,5,8
112,227,222,5,8
12,238,212,4,8
74,155,164,0,8
0,186,181,3,8
26,231,217,2,8
113,242,138,5,9
112,230,153,5,9
112,60,226,1,9
27,250,146,2,9
12,252,169,4,9
73,169,118,0,9
27,255,147,2,9
105,28,190,1,9
26,250,202,2,9
112,230,240,5,9
178,190,158,3,9
113,58,255,1,9
13,244,240,4,9
112,231,215,5,9
12,245,205,4,9
13,249,243,4,9
1,192,172,3,9
27,244,201,2,9
1,212,106,3,9
75,182,98,0,9
0,206,134,3,9
73,193,91,0,9
72,186,106,0,9
1,197,153,3,9
26,253,154,2,9
26,246,170,2,9
12,244,207,4,9
76,154,150,0,9
112,228,211,5,9
77,158,125,0,9
117,23,255,1,9
116,35,255,1,9
75,163,127,0,9
116,20,255,1,9
12,238,232,4,9
111,232,180,5,9
