1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,27,255,143,2,2
0,0.01,0.995,0,0,0,0,0.1475,0.035,0.82,0,0,0,1,0,0,71,172,110,0,2
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8225,0.25,26,244,211,2,2
0.0125,0,0,0,0,0.9875,0,0,0,1,0,0,0,0.225,0.8825,0,179,182,181,3,2
0,0,0,1,0,0,0,0,0,0.1975,0.82,0,0,0,0,1,112,228,224,5,2
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,78,160,128,0,2
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,221,245,2,2
0.36,0,0,0,0,0.64,0,0,0,1,0,0,0,0.955,0.0975,0,179,189,173,3,2
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.0075,112,228,204,5,2
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13,246,252,4,2
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13,244,230,4,2
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.58,0.52,26,236,209,2,2
0,0,1,0,0,0,0,0,0,0.8925,0.17,0,0,1,0,0,75,190,82,0,3
0.845,0,0,0,0,0.155,0,0,0,0.05,0.96,0,0,1,0,0,0,207,126,3,3
